rank,game,config,rtp,house_edge,std_per_unit,variance_per_unit,survival_prob
242,mines,"12 mines, 7 picks",0.99,0.01,16.540059064167632,273.57355384615386,0.4070290221128341
243,mines,"7 mines, 12 picks",0.99,0.01,16.540059064167632,273.57355384615386,0.4070290221128341
244,mines,"2 mines, 23 picks",0.99,0.01,17.118700301132677,293.0499,0.39456677216032454
245,mines,"23 mines, 2 picks",0.99,0.01,17.118700301132677,293.0499,0.39456677216032454
246,mines,"11 mines, 8 picks",0.99,0.01,18.762128209375796,352.017454945055,0.3628422219316606
247,mines,"8 mines, 11 picks",0.99,0.01,18.762128209375796,352.017454945055,0.3628422219316606
248,mines,"18 mines, 4 picks",0.99,0.01,18.795106886026023,353.2560428571428,0.3622556372662121
249,mines,"4 mines, 18 picks",0.99,0.01,18.795106886026023,353.2560428571428,0.3622556372662121
250,mines,"14 mines, 6 picks",0.99,0.01,19.357812376402453,374.7249,0.35252071849130684
251,mines,"6 mines, 14 picks",0.99,0.01,19.357812376402453,374.7249,0.35252071849130684
252,mines,"10 mines, 9 picks",0.99,0.01,19.97708175896559,399.0837956043957,0.34237410785356137
253,mines,"9 mines, 10 picks",0.99,0.01,19.97708175896559,399.0837956043957,0.34237410785356137
254,mines,"16 mines, 5 picks",0.99,0.01,20.30505848304801,412.29540000000003,0.3372255141144469
255,mines,"5 mines, 16 picks",0.99,0.01,20.30505848304801,412.29540000000003,0.3372255141144469
256,mines,"21 mines, 3 picks",0.99,0.01,23.718714130407662,562.5774000000001,0.29139229569651626
257,mines,"3 mines, 21 picks",0.99,0.01,23.718714130407662,562.5774000000001,0.29139229569651626
258,mines,"13 mines, 7 picks",0.99,0.01,24.369779440938732,593.88615,0.2839985018330261
259,mines,"7 mines, 13 picks",0.99,0.01,24.369779440938732,593.88615,0.2839985018330261
260,mines,"12 mines, 8 picks",0.99,0.01,28.68241380251079,822.6808615384615,0.2430033878483826
261,mines,"8 mines, 12 picks",0.99,0.01,28.68241380251079,822.6808615384615,0.2430033878483826
262,mines,"15 mines, 6 picks",0.99,0.01,28.73274960737312,825.5709000000002,0.2425935694338649
263,mines,"19 mines, 4 picks",0.99,0.01,28.73274960737312,825.5709000000002,0.2425935694338649
264,mines,"4 mines, 19 picks",0.99,0.01,28.73274960737312,825.5709000000002,0.2425935694338649
265,mines,"6 mines, 15 picks",0.99,0.01,28.73274960737312,825.5709000000002,0.2425935694338649
266,mines,"17 mines, 5 picks",0.99,0.01,30.477693072147044,928.889775,0.2291830415510694
267,mines,"5 mines, 17 picks",0.99,0.01,30.477693072147044,928.889775,0.2291830415510694
268,mines,"11 mines, 9 picks",0.99,0.01,31.60980289421288,999.1796390109889,0.22123820755387458
269,mines,"9 mines, 11 picks",0.99,0.01,31.60980289421288,999.1796390109889,0.22123820755387458
270,mines,"10 mines, 10 picks",0.99,0.01,32.64746475524638,1065.8569549450547,0.21441955603202323
271,mines,"14 mines, 7 picks",0.99,0.01,37.771667953639536,1426.6988999999999,0.18604902829972847
272,mines,"7 mines, 14 picks",0.99,0.01,37.771667953639536,1426.6988999999999,0.18604902829972847
273,mines,"16 mines, 6 picks",0.99,0.01,45.44664344041262,2065.3973999999994,0.15520618263092512
274,mines,"6 mines, 16 picks",0.99,0.01,45.44664344041262,2065.3973999999994,0.15520618263092512
275,mines,"13 mines, 8 picks",0.99,0.01,46.26595292436977,2140.5384,0.15250388513351243
276,mines,"8 mines, 13 picks",0.99,0.01,46.26595292436977,2140.5384,0.15250388513351243
277,mines,"22 mines, 3 picks",0.99,0.01,47.468409495157935,2253.2499000000003,0.14870312698859256
278,mines,"3 mines, 22 picks",0.99,0.01,47.468409495157935,2253.2499000000003,0.14870312698859256
279,mines,"18 mines, 5 picks",0.99,0.01,49.786272204293425,2478.6729,0.14188432560266762
280,mines,"20 mines, 4 picks",0.99,0.01,49.786272204293425,2478.6729,0.14188432560266762
281,mines,"4 mines, 20 picks",0.99,0.01,49.786272204293425,2478.6729,0.14188432560266762
282,mines,"5 mines, 18 picks",0.99,0.01,49.786272204293425,2478.6729,0.14188432560266762
283,mines,"12 mines, 9 picks",0.99,0.01,52.90999120422124,2799.4671692307693,0.13362250583861346
284,mines,"9 mines, 12 picks",0.99,0.01,52.90999120422124,2799.4671692307693,0.13362250583861346
285,mines,"10 mines, 11 picks",0.99,0.01,56.564397502626726,3199.5310648351647,0.12509614722925488
286,mines,"11 mines, 10 picks",0.99,0.01,56.564397502626726,3199.5310648351647,0.12509614722925488
287,mines,"15 mines, 7 picks",0.99,0.01,62.650914997308696,3925.1371499999996,0.11307193253151904
288,mines,"7 mines, 15 picks",0.99,0.01,62.650914997308696,3925.1371499999996,0.11307193253151904
289,mines,"17 mines, 6 picks",0.99,0.01,78.72834559420133,6198.1524,0.090159260770172
290,mines,"6 mines, 17 picks",0.99,0.01,78.72834559420133,6198.1524,0.090159260770172
291,mines,"14 mines, 8 picks",0.99,0.01,80.14721080611602,6423.575400000001,0.0885744457749682
292,mines,"8 mines, 14 picks",0.99,0.01,80.14721080611602,6423.575400000001,0.0885744457749682
293,mines,"19 mines, 5 picks",0.99,0.01,93.15473900988613,8677.805400000001,0.07627883504103727
294,mines,"5 mines, 19 picks",0.99,0.01,93.15473900988613,8677.805400000001,0.07627883504103727
295,mines,"13 mines, 9 picks",0.99,0.01,95.39640205479449,9100.473525,0.07449621175946186
296,mines,"9 mines, 13 picks",0.99,0.01,95.39640205479449,9100.473525,0.07449621175946186
297,mines,"10 mines, 12 picks",0.99,0.01,105.83387443027435,11200.80897692308,0.06718452229049299
298,mines,"12 mines, 10 picks",0.99,0.01,105.83387443027435,11200.80897692308,0.06718452229049299
299,mines,"11 mines, 11 picks",0.99,0.01,109.54878715956589,12000.936768131869,0.06491645431410298
300,mines,"21 mines, 4 picks",0.99,0.01,111.34309543029599,12397.284899999999,0.06387488805438468
301,mines,"4 mines, 21 picks",0.99,0.01,111.34309543029599,12397.284899999999,0.06387488805438468
302,mines,"16 mines, 7 picks",0.99,0.01,114.394394093417,13086.0774,0.06217830122693346
303,mines,"7 mines, 16 picks",0.99,0.01,114.394394093417,13086.0774,0.06217830122693346
304,mines,"15 mines, 8 picks",0.99,0.01,153.47873924423538,23555.7234,0.046391050818727964
305,mines,"8 mines, 15 picks",0.99,0.01,153.47873924423538,23555.7234,0.046391050818727964
306,mines,"18 mines, 6 picks",0.99,0.01,157.46602776472136,24795.549899999998,0.04521953896491859
307,mines,"6 mines, 18 picks",0.99,0.01,157.46602776472136,24795.549899999998,0.04521953896491859
308,mines,"14 mines, 9 picks",0.99,0.01,190.80050943328217,36404.8344,0.03733636614266156
309,mines,"9 mines, 14 picks",0.99,0.01,190.80050943328217,36404.8344,0.03733636614266156
310,mines,"10 mines, 13 picks",0.99,0.01,220.31819239454558,48540.1059,0.03234302199480488
311,mines,"13 mines, 10 picks",0.99,0.01,220.31819239454558,48540.1059,0.03234302199480488
312,mines,"20 mines, 5 picks",0.99,0.01,228.19231560243216,52071.7329,0.031228843573102072
313,mines,"5 mines, 20 picks",0.99,0.01,228.19231560243216,52071.7329,0.031228843573102072
314,mines,"11 mines, 12 picks",0.99,0.01,236.6600204610305,56007.965284615384,0.030113259593039565
315,mines,"12 mines, 11 picks",0.99,0.01,236.6600204610305,56007.965284615384,0.030113259593039565
316,mines,"17 mines, 7 picks",0.99,0.01,242.67422329122638,58890.77865,0.029368115417165663
317,mines,"7 mines, 17 picks",0.99,0.01,242.67422329122638,58890.77865,0.029368115417165663
318,mines,"16 mines, 8 picks",0.99,0.01,343.1946057268383,117782.53739999999,0.020775337206496935
319,mines,"8 mines, 16 picks",0.99,0.01,343.1946057268383,117782.53739999999,0.020775337206496935
320,mines,"19 mines, 6 picks",0.99,0.01,416.6230069259258,173574.7299,0.017116747946642308
321,mines,"6 mines, 19 picks",0.99,0.01,416.6230069259258,173574.7299,0.017116747946642308
322,mines,"15 mines, 9 picks",0.99,0.01,447.4717864290441,200230.99965000004,0.015937594416241874
323,mines,"9 mines, 15 picks",0.99,0.01,447.4717864290441,200230.99965000004,0.015937594416241874
324,mines,"10 mines, 14 picks",0.99,0.01,539.6716926984406,291245.5359000001,0.013216393407413873
325,mines,"14 mines, 10 picks",0.99,0.01,539.6716926984406,291245.5359000001,0.013216393407413873
326,mines,"11 mines, 13 picks",0.99,0.01,603.3714982496273,364057.1649,0.011821837944511748
327,mines,"13 mines, 11 picks",0.99,0.01,603.3714982496273,364057.1649,0.011821837944511748
328,mines,"12 mines, 12 picks",0.99,0.01,626.1482552816926,392061.6375923077,0.011392024848726034
329,mines,"18 mines, 7 picks",0.99,0.01,686.3913533109228,471133.0899,0.010392630005356729
330,mines,"7 mines, 18 picks",0.99,0.01,686.3913533109228,471133.0899,0.010392630005356729
331,mines,"17 mines, 8 picks",0.99,0.01,1029.58762492563,1060050.6774,0.006929451785929519
332,mines,"8 mines, 17 picks",0.99,0.01,1029.58762492563,1060050.6774,0.006929451785929519
333,mines,"16 mines, 9 picks",0.99,0.01,1415.0331506364082,2002318.8173999998,0.005042314917903412
334,mines,"9 mines, 16 picks",0.99,0.01,1415.0331506364082,2002318.8173999998,0.005042314917903412
335,mines,"10 mines, 15 picks",0.99,0.01,1789.8912525346338,3203710.6959000006,0.003986473411419
336,mines,"15 mines, 10 picks",0.99,0.01,1789.8912525346338,3203710.6959000006,0.003986473411419
337,mines,"11 mines, 14 picks",0.99,0.01,2090.1427606505736,4368696.759900001,0.003413891746229858
338,mines,"14 mines, 11 picks",0.99,0.01,2090.1427606505736,4368696.759900001,0.003413891746229858
339,mines,"12 mines, 13 picks",0.99,0.01,2257.612245249392,5096813.0499,0.0031606821560262732
340,mines,"13 mines, 12 picks",0.99,0.01,2257.612245249392,5096813.0499,0.0031606821560262732
341,crash,cashout 1.2x,0.9899999999441206,0.010000000055879421,0.4559605246549157,0.207900000043586,1.0
342,crash,cashout 1.1x,0.9899999998975546,0.010000000102445394,0.3300000001365939,0.10890000009015198,1.0
343,crash,cashout 1.5x,0.9899999998742715,0.010000000125728548,0.7105631569820868,0.5049000000603497,1.0
344,crash,cashout 1.01x,0.9899999998463318,0.010000000153668198,0.14071247332435752,0.019800000149058024,1.0
345,crash,cashout 2x,0.9899999997578561,0.01000000024214387,0.9999499987475159,0.999899999995157,1.0
346,crash,cashout 3x,0.9899999995250255,0.010000000474974513,1.4106381532893282,1.9898999995155262,0.999999999382099
347,crash,cashout 5x,0.9899999992921948,0.010000000707805157,1.9924607895420248,3.9698999978624285,0.9999882287678666
348,crash,cashout 10x,0.9899999992921948,0.010000000707805157,2.9866201623781023,8.919899994323403,0.9965714475242581
349,crash,cashout 100x,0.989999994635582,0.01000000536441803,9.900499960819138,98.01989947417975,0.6261910126331564
350,crash,cashout 1000x,0.9899998549371958,0.010000145062804222,31.448684475259377,989.0197552244201,0.2223355150414359
351,plinko,"low, 13 rows",0.989990234375,0.010009765625,0.47045772249441564,0.2213304686546326,1.0
352,keno,"high, 6 picks",0.9899879636721742,0.010012036327825801,16.454570230966063,270.75288148579455,0.40892847004037025
